Country,Region,City,District
France,Île-de-France,Coupvray,
France,Île-de-France,Paris,Arrondissement du Louvre
France,Île-de-France,Paris,Arrondissement de la Bourse
France,Île-de-France,Paris,Arrondissement du Temple
France,Île-de-France,Paris,Arrondissement de l'Hôtel-de-Ville
France,Île-de-France,Paris,Arrondissement du Panthéon
France,Île-de-France,Paris,Arrondissement du Luxembourg
France,Île-de-France,Paris,Arrondissement du Palais-Bourbon
France,Île-de-France,Paris,Arrondissement de l'Elysée
France,Île-de-France,Paris,Arrondissement de l'Opéra
France,Île-de-France,Paris,Arrondissement de l'Entrepôt
France,Île-de-France,Paris,Arrondissement de Popincourt
France,Île-de-France,Paris,Arrondissement de Reuilly
France,Île-de-France,Paris,Arrondissement des Gobelins
France,Île-de-France,Paris,Arrondissement de l'Observatoire
France,Île-de-France,Paris,Arrondissement de Vaugirard
France,Île-de-France,Paris,Arrondissement de Passy
France,Île-de-France,Paris,Arrondissement de Batignolles-Monceau
France,Île-de-France,Paris,Arrondissement des Buttes-Montmartre
France,Île-de-France,Paris,Arrondissement des Buttes-Chaumont
France,Île-de-France,Paris,Arrondissement de Ménilmontant
France,Île-de-France,Versailles,
France,Provence-Alpes-Côte d'Azur,Nice,
France,Provence-Alpes-Côte d'Azur,Marseille,
France,Provence-Alpes-Côte d'Azur,Cannes,
France,Provence-Alpes-Côte d'Azur,Avignon,
France,Provence-Alpes-Côte d'Azur,Antibes,
France,Provence-Alpes-Côte d'Azur,Saint-Tropez,
France,Provence-Alpes-Côte d'Azur,Aix-en-Provence,
France,Provence-Alpes-Côte d'Azur,Arles,
France,Provence-Alpes-Côte d'Azur,Opio,
France,Grand Est,Strasbourg,
France,Grand Est,Trémery,
France,Grand Est,Colmar,
France,Grand Est,Cattenom,
France,Grand Est,Reims,
France,Grand Est,Metzeral,
France,Grand Est,Amnéville,
France,Auvergne-Rhône-Alpes,Lyon,
France,Auvergne-Rhône-Alpes,Chamonix,
France,Auvergne-Rhône-Alpes,Annecy,
France,Auvergne-Rhône-Alpes,Dompierre-sur-Besbre,
France,Auvergne-Rhône-Alpes,Tignes,
France,Auvergne-Rhône-Alpes,Val-d'Isère,
France,Auvergne-Rhône-Alpes,Bourg-Saint-Maurice,
France,Auvergne-Rhône-Alpes,Rencurel,
France,Nouvelle-Aquitaine,Bordeaux,
France,Nouvelle-Aquitaine,La Rochelle,
France,Nouvelle-Aquitaine,Arcachon,
France,Nouvelle-Aquitaine,Les Mathes,
France,Nouvelle-Aquitaine,Biarritz,
France,Hauts-de-France,Lille,
France,Hauts-de-France,Boulogne-sur-Mer,
France,Hauts-de-France,Calais,
France,Hauts-de-France,Plailly,
France,Corsica,Ajaccio,
France,Corsica,Monticello,
France,Normandy,Mont Saint-Michel,
France,Normandy,Le Havre,
France,Normandy,Caen,
France,Normandy,Rouen,
France,Normandy,Sainte-Mère-Église,
France,Normandy,Honfleur,
France,Normandy,Saint-Nicolas-d'Aliermont,
France,Centre-Val de Loire,Châteauvieux,
France,Centre-Val de Loire,Tours,
France,Centre-Val de Loire,Orléans,
France,Occitanie,Toulouse,
France,Occitanie,Carcassonne,
France,Occitanie,Montpellier,
France,Occitanie,His,
France,Occitanie,Perpignan,
France,Occitanie,Béziers,
France,Occitanie,Nîmes,
France,Pays de la Loire,La Flèche,
France,Pays de la Loire,Nantes,
France,Brittany,Saint-Malo,
France,Bourgogne-Franche-Comté,Dijon,
France,Île-de-France,Rueil-Malmaison,
France,Île-de-France,Boulogne-Billancourt,
France,Île-de-France,Roissy-en-France,
France,Île-de-France,Courbevoie,
France,Île-de-France,Bagnolet,
France,Provence-Alpes-Côte d'Azur,Villefranche-sur-Mer,
France,Provence-Alpes-Côte d'Azur,Menton,
France,Provence-Alpes-Côte d'Azur,Cotignac,
France,Provence-Alpes-Côte d'Azur,Saint-Raphaël,
France,Provence-Alpes-Côte d'Azur,Hyères,
France,Provence-Alpes-Côte d'Azur,Le Castellet,
France,Provence-Alpes-Côte d'Azur,Saint-Rémy-de-Provence,
France,Provence-Alpes-Côte d'Azur,Cassis,
France,Provence-Alpes-Côte d'Azur,Fréjus,
France,Provence-Alpes-Côte d'Azur,Èze,
France,Provence-Alpes-Côte d'Azur,Le Lavandou,
France,Provence-Alpes-Côte d'Azur,Sainte-Maxime,
France,Provence-Alpes-Côte d'Azur,Orange,
France,Provence-Alpes-Côte d'Azur,La Croix-Valmer,
France,Auvergne-Rhône-Alpes,Bernex,
France,Auvergne-Rhône-Alpes,Morzine,
France,Auvergne-Rhône-Alpes,Valence,
France,Auvergne-Rhône-Alpes,Clermont-Ferrand,
France,Auvergne-Rhône-Alpes,Courchevel,
France,Auvergne-Rhône-Alpes,Évian-les-Bains,
France,Auvergne-Rhône-Alpes,Les Belleville,
France,Auvergne-Rhône-Alpes,Les Allues,
France,Auvergne-Rhône-Alpes,Aix-les-Bains,
France,Auvergne-Rhône-Alpes,Megève,
France,Auvergne-Rhône-Alpes,La Plagne-Tarentaise,
France,Auvergne-Rhône-Alpes,Chambéry,
France,Auvergne-Rhône-Alpes,Chirens,
France,Auvergne-Rhône-Alpes,Grenoble,
France,Auvergne-Rhône-Alpes,Huez,
France,Auvergne-Rhône-Alpes,La Clusaz,
France,Auvergne-Rhône-Alpes,Talloires,
France,Auvergne-Rhône-Alpes,Annemasse,
France,Auvergne-Rhône-Alpes,Divonne-les-Bains,
France,Auvergne-Rhône-Alpes,Vichy,
France,Auvergne-Rhône-Alpes,Arfeuilles,
France,Auvergne-Rhône-Alpes,Bourg-en-Bresse,
France,Nouvelle-Aquitaine,Arcangues,
France,Nouvelle-Aquitaine,Bayonne,
France,Nouvelle-Aquitaine,Saint-Jean-de-Luz,
France,Nouvelle-Aquitaine,Larrau,
France,Nouvelle-Aquitaine,Hendaye,
France,Nouvelle-Aquitaine,Pau,
France,Nouvelle-Aquitaine,Poitiers,
France,Nouvelle-Aquitaine,Limoges,
France,Nouvelle-Aquitaine,Biriatou,
France,Nouvelle-Aquitaine,Sarlat-la-Canéda,
France,Nouvelle-Aquitaine,Anglet,
France,Nouvelle-Aquitaine,Montamisé,
France,Nouvelle-Aquitaine,Hossegor,
France,Nouvelle-Aquitaine,Bergerac,
France,Nouvelle-Aquitaine,Niort,
France,Nouvelle-Aquitaine,Brive-la-Gaillarde,
France,Nouvelle-Aquitaine,Mérignac,
France,Nouvelle-Aquitaine,Châtellerault,
France,Nouvelle-Aquitaine,Rochefort,
France,Nouvelle-Aquitaine,Agen,
France,Nouvelle-Aquitaine,Condat-sur-Ganaveix,
France,Nouvelle-Aquitaine,Lège-Cap-Ferret,
France,Nouvelle-Aquitaine,Mimizan,
France,Nouvelle-Aquitaine,Villenave-d'Ornon,
France,Nouvelle-Aquitaine,Bidart,
France,Nouvelle-Aquitaine,Biscarrosse,
France,Nouvelle-Aquitaine,Boulazac Isle Manoire,
France,Nouvelle-Aquitaine,Chamboulive,
France,Nouvelle-Aquitaine,Dax,
France,Nouvelle-Aquitaine,Itxassou,
France,Nouvelle-Aquitaine,La Flotte,
France,Nouvelle-Aquitaine,Le Vigeant,
France,Nouvelle-Aquitaine,Lormont,
France,Nouvelle-Aquitaine,Sadirac,
France,Nouvelle-Aquitaine,Saint-Xandre,
France,Nouvelle-Aquitaine,Sainte-Marie-de-Ré,
France,Nouvelle-Aquitaine,Bassillac et Auberoche,
France,Nouvelle-Aquitaine,Champniers,
France,Nouvelle-Aquitaine,Cognac,
France,Nouvelle-Aquitaine,Cosnac,
France,Nouvelle-Aquitaine,Cublac,
France,Nouvelle-Aquitaine,Domme,
France,Occitanie,Gazost,
France,Occitanie,Lourdes,
France,Occitanie,Narbonne,
France,Occitanie,Collioure,
France,Occitanie,Agde,
France,Occitanie,Gorges du Tarn Causses,
France,Occitanie,Argelès-sur-Mer,
France,Occitanie,Gaillac,
France,Occitanie,Gavarnie-Gèdre,
France,Hauts-de-France,Le Touquet,
France,Hauts-de-France,Audinghen,
France,Hauts-de-France,Wimereux,
France,Hauts-de-France,Dunkirk,
France,Hauts-de-France,Wissant,
France,Hauts-de-France,Le Crotoy,
France,Hauts-de-France,Neufchâtel-Hardelot,
France,Hauts-de-France,Berck,
France,Hauts-de-France,Audresselles,
France,Hauts-de-France,Bouconville-Vauclair,
France,Hauts-de-France,Amiens,
France,Hauts-de-France,Saint-Valery-sur-Somme,
France,Hauts-de-France,Valenciennes,
France,Hauts-de-France,Beauvais,
France,Hauts-de-France,Arras,
France,Hauts-de-France,Escalles,
France,Bourgogne-Franche-Comté,Beaune,
France,Bourgogne-Franche-Comté,Mâcon,
France,Bourgogne-Franche-Comté,Besançon,
France,Bourgogne-Franche-Comté,Chalon-sur-Saône,
France,Bourgogne-Franche-Comté,Corcelles-les-Monts,
France,Bourgogne-Franche-Comté,Branches,
France,Normandy,Gasny,
France,Normandy,Longues-sur-Mer,
France,Normandy,Dieppe,
France,Normandy,Deauville,
France,Normandy,Pontorson,
France,Normandy,Étretat,
France,Normandy,Bayeux,
France,Normandy,Trouville-sur-Mer,
France,Normandy,Le Tréport,
France,Normandy,Tourgéville,
France,Normandy,Vattetot-sur-Mer,
France,Normandy,Courseulles-sur-Mer,
France,Corsica,Porto-Vecchio,
France,Corsica,Bonifacio,
France,Corsica,Calvi,
France,Corsica,Pietrosella,
France,Corsica,Santa-Maria-di-Lota,
France,Corsica,Ota,
France,Corsica,Belvédère-Campomoro,
France,Brittany,Rennes,
France,Brittany,Roscoff,
France,Brittany,Quiberon,
France,Pays de la Loire,Le Mans,
France,Pays de la Loire,Les Epesses,
France,Centre-Val de Loire,Blois,
France,Centre-Val de Loire,Chartres,
France,Centre-Val de Loire,Bourges,
France,Centre-Val de Loire,Amboise,
France,Centre-Val de Loire,Vierzon,
France,Centre-Val de Loire,Saint-Maur,
France,Centre-Val de Loire,Ardon,
France,Loire-Atlantique,Saint-Nazaire,
France,Île-de-France,Palaiseau,
France,Provence-Alpes-Côte d'Azur,Grasse,
France,Île-de-France,Torcy,
France,Alpes-de-Haute-Provence,Forcalquier,
France,Provence-Alpes-Côte d'Azur,Carpentras,
France, Nouvelle-Aquitaine,Pessac-sur-Dordogne,
France,Nouvelle-Aquitaine,Montignac-Lascaux,
France,Provence-Alpes-Côte d'Azur,Draguignan,
France,Normandy,Saint-Sever-Calvados,
France,Auvergne-Rhône-Alpes,Saint-Yorre,
France,Provence-Alpes-Côte d'Azur,French Riviera,
Monaco,Monaco,,